service_id,date,exception_type
67,20180513,2
69,20180408,2
70,20180414,2
70,20180421,2
70,20180428,2
70,20180501,1
70,20180505,2
70,20180508,1
70,20180512,2
70,20180519,2
70,20180526,2
71,20180414,2
71,20180421,2
71,20180428,2
71,20180505,2
71,20180512,2
71,20180519,2
71,20180526,2
72,20180414,2
72,20180421,2
72,20180428,2
72,20180429,2
72,20180501,1
72,20180505,2
72,20180506,2
72,20180508,1
72,20180512,2
72,20180519,2
72,20180526,2
73,20180414,2
73,20180421,2
73,20180428,2
73,20180501,1
73,20180505,2
73,20180512,2
73,20180519,2
73,20180526,2
74,20180501,1
74,20180508,1
76,20180414,2
76,20180421,2
77,20180414,2
77,20180421,2
77,20180428,2
77,20180429,2
77,20180505,2
77,20180506,2
77,20180512,2
77,20180519,2
77,20180526,2
78,20180414,2
78,20180421,2
78,20180428,2
80,20180414,2
80,20180421,2
80,20180428,2
80,20180505,2
80,20180512,2
80,20180519,2
81,20180501,1
81,20180508,1
82,20180414,2
82,20180421,2
82,20180428,2
82,20180501,1
83,20180414,2
83,20180421,2
83,20180428,2
83,20180501,1
83,20180505,2
83,20180508,1
84,20180414,2
84,20180421,2
84,20180428,2
84,20180501,1
84,20180505,2
84,20180508,1
84,20180512,2
84,20180519,2
85,20180414,2
86,20180501,2
86,20180508,2
88,20180410,2
88,20180411,2
88,20180412,2
88,20180413,2
88,20180417,2
88,20180418,2
88,20180419,2
88,20180420,2
88,20180424,2
88,20180425,2
88,20180426,2
88,20180427,2
88,20180430,2
88,20180501,2
88,20180503,2
88,20180504,2
88,20180507,2
88,20180508,2
88,20180510,2
88,20180511,2
88,20180515,2
88,20180516,2
88,20180517,2
88,20180518,2
88,20180522,2
88,20180523,2
88,20180524,2
88,20180525,2
89,20180410,2
89,20180411,2
89,20180412,2
89,20180413,2
89,20180417,2
89,20180418,2
89,20180419,2
89,20180420,2
89,20180424,2
89,20180425,2
89,20180426,2
89,20180427,2
89,20180501,2
89,20180503,2
89,20180504,2
89,20180508,2
89,20180510,2
89,20180511,2
89,20180515,2
89,20180516,2
89,20180517,2
89,20180518,2
89,20180522,2
89,20180523,2
89,20180524,2
89,20180525,2
90,20180416,2
90,20180417,2
90,20180418,2
90,20180419,2
90,20180420,2
90,20180430,2
90,20180501,2
90,20180502,2
90,20180503,2
90,20180504,2
90,20180508,2
90,20180514,2
90,20180515,2
90,20180516,2
90,20180517,2
90,20180518,2
91,20180430,2
91,20180501,2
91,20180507,2
91,20180508,2
95,20180413,2
95,20180420,2
95,20180427,2
95,20180501,2
95,20180504,2
95,20180508,2
95,20180511,2
95,20180518,2
95,20180525,2
96,20180416,2
96,20180423,2
96,20180430,2
96,20180501,2
96,20180502,2
96,20180507,2
96,20180508,2
96,20180509,2
96,20180514,2
96,20180521,2
96,20180528,2
97,20180411,2
97,20180412,2
97,20180413,2
97,20180416,2
97,20180418,2
97,20180419,2
97,20180420,2
97,20180423,2
97,20180425,2
97,20180426,2
97,20180427,2
97,20180430,2
97,20180501,2
97,20180502,2
97,20180503,2
97,20180504,2
97,20180507,2
97,20180508,2
97,20180509,2
97,20180510,2
97,20180511,2
97,20180514,2
97,20180516,2
97,20180517,2
97,20180518,2
97,20180521,2
98,20180411,2
98,20180412,2
98,20180413,2
98,20180416,2
98,20180418,2
98,20180419,2
98,20180420,2
98,20180423,2
99,20180416,2
99,20180417,2
99,20180418,2
99,20180419,2
99,20180423,2
99,20180424,2
99,20180425,2
99,20180426,2
99,20180430,2
99,20180501,2
99,20180502,2
99,20180503,2
99,20180507,2
99,20180508,2
99,20180509,2
99,20180510,2
99,20180514,2
99,20180515,2
99,20180516,2
99,20180517,2
99,20180521,2
99,20180522,2
99,20180523,2
99,20180524,2
100,20180501,1
100,20180508,1
101,20180415,2
101,20180422,2
101,20180513,2
101,20180520,2
102,20180415,2
102,20180422,2
102,20180429,2
102,20180501,1
102,20180506,2
102,20180508,1
102,20180513,2
102,20180520,2
103,20180415,2
103,20180422,2
103,20180429,2
103,20180506,2
103,20180513,2
103,20180520,2
106,20180501,1
106,20180508,1
107,20180421,2
107,20180428,2
107,20180501,1
107,20180505,2
107,20180508,1
107,20180512,2
107,20180519,2
107,20180526,2
108,20180421,2
108,20180428,2
108,20180505,2
108,20180512,2
108,20180519,2
108,20180526,2
109,20180501,1
109,20180508,1
110,20180501,2
110,20180508,2
111,20180501,2
111,20180508,2
112,20180501,1
112,20180508,1
113,20180422,2
113,20180429,2
113,20180506,2
113,20180513,2
113,20180520,2
114,20180428,2
114,20180501,1
114,20180505,2
114,20180508,1
114,20180512,2
114,20180519,2
114,20180526,2
117,20180429,2
117,20180506,2
117,20180513,2
117,20180520,2
118,20180430,1
118,20180507,1
119,20180501,1
119,20180508,1
120,20180501,1
120,20180505,2
120,20180508,1
120,20180512,2
120,20180519,2
120,20180526,2
121,20180505,2
122,20180501,2
122,20180502,2
122,20180503,2
122,20180504,2
123,20180501,2
123,20180508,2
125,20180430,2
125,20180501,2
125,20180502,2
125,20180503,2
126,20180430,2
126,20180507,2
127,20180501,2
127,20180503,2
127,20180508,2
127,20180510,2
127,20180515,2
127,20180517,2
127,20180522,2
127,20180524,2
127,20180529,2
128,20180501,1
128,20180505,2
128,20180506,2
128,20180508,1
129,20180501,1
129,20180508,1
130,20180501,1
130,20180505,2
130,20180508,1
130,20180512,2
130,20180519,2
130,20180526,2
131,20180501,1
131,20180508,1
132,20180501,1
132,20180505,2
132,20180508,1
132,20180512,2
132,20180519,2
133,20180501,1
133,20180505,2
133,20180512,2
133,20180519,2
133,20180526,2
134,20180501,1
134,20180506,2
134,20180508,1
134,20180513,2
134,20180520,2
135,20180507,2
135,20180508,2
136,20180508,2
137,20180508,2
138,20180508,2
139,20180506,2
139,20180507,2
140,20180504,2
140,20180508,2
140,20180511,2
140,20180518,2
140,20180525,2
142,20180504,2
142,20180507,2
142,20180508,2
142,20180511,2
142,20180514,2
143,20180508,2
143,20180515,2
143,20180522,2
143,20180529,2
144,20180503,2
144,20180508,2
144,20180510,2
144,20180515,2
144,20180517,2
145,20180504,2
145,20180507,2
145,20180508,2
145,20180509,2
145,20180511,2
145,20180514,2
145,20180516,2
145,20180518,2
145,20180521,2
145,20180523,2
145,20180525,2
145,20180528,2
145,20180530,2
146,20180504,2
146,20180507,2
146,20180508,2
146,20180509,2
146,20180511,2
146,20180514,2
146,20180516,2
147,20180507,2
147,20180508,2
147,20180509,2
147,20180510,2
147,20180514,2
147,20180515,2
147,20180516,2
147,20180517,2
147,20180521,2
147,20180522,2
147,20180523,2
147,20180524,2
148,20180508,2
148,20180509,2
148,20180510,2
148,20180515,2
148,20180516,2
148,20180517,2
149,20180506,2
149,20180513,2
149,20180520,2
150,20180506,2
150,20180513,2
151,20180512,2
